"PMNUM","TIMES_SCHEDULED","TIMES_ONTIME","TIMES_LATE","TIMES_NOT_COMPLETED","AVG_PLANNED_HRS","AVG_ACTUAL_HRS"
PM147120,2,1,0,1,1.5,0.75
PM147150,2,1,0,1,0.0,0.25
PM147161,2,1,0,1,4.0,2.0
PM147162,2,1,0,1,4.0,2.0
PM147172,2,1,0,1,0.0,2.0
PM147239,3,1,1,1,2.0,1.0
PM147264,3,2,0,1,0.0,2.0
PM147280,2,1,0,1,0.0,1.5
PM147331,2,1,0,1,4.0,1.25
PM148057,52,50,1,1,0.5,0.48108974358974355
PM148058,52,50,1,1,0.5,0.48108974358974355
PM148059,4,3,0,1,4.0,2.0041666666666664
PM148060,4,3,0,1,4.0,2.375
PM148061,4,3,0,1,4.0,2.375
PM148064,1,0,0,1,3.0,0.0
PM153778,312,293,18,1,1.0,1.2403846153846154
PM154202,4,3,0,1,3.0,2.25
PM161304,1,0,0,1,9.5,0.0
PM161531,52,51,0,1,1.0,0.9342948717948718
PM161679,1,0,0,1,0.0,0.0
PM161680,1,0,0,1,0.0,0.0
PM162182,1,0,0,1,3.0,0.0
PM162188,1,0,0,1,3.0,0.0
PM162324,3,1,1,1,0.9999999999999999,0.05555555555555555
PM162325,3,2,0,1,0.9999999999999999,0.16666666666666666
PM164038,1,0,0,1,12.083333333333334,0.0
PM164087,12,11,0,1,2.0,2.1666666666666665
PM164088,12,11,0,1,2.0,2.0
PM164259,3,2,0,1,6.0,2.0
PM165227,4,0,3,1,7.0,1.875
PM165229,4,0,3,1,5.0,1.875
PM166311,1,0,0,1,60.0,0.0
PM166315,1,0,0,1,60.0,0.0
PM168889,6,4,1,1,0.0,1.1694444444444445
PM169323,12,11,0,1,2.0,1.0
PM170291,1,0,0,1,1.0,1.0
PM170353,12,11,0,1,2.0,1.8333333333333333
PM171055,1,0,0,1,0.25,0.0
PM171073,5,4,0,1,0.5,0.0
PM171074,5,4,0,1,0.5,0.0
PM171075,5,4,0,1,0.5,0.0
PM171082,13,11,1,1,1.0,0.0
PM171084,13,12,0,1,1.0,0.0
PM171086,13,12,0,1,1.5,0.03461538461538462
PM171592,4,3,0,1,2.0,1.875
PM172098,3,1,1,1,1.0833333333333333,0.6666666666666666
PM173012,52,47,4,1,2.0,1.405128205128205
PM173227,157,156,0,1,0.5,0.5031847133757962
PM173871,12,9,2,1,1.0,0.0
PM173872,12,9,2,1,1.0,0.0
PM174007,1,0,0,1,8.0,0.0
PM174272,1,0,0,1,2.0,0.0
PM174341,1,0,0,1,0.5,0.0
PM174544,5,3,1,1,0.75,0.65
PM174547,13,10,2,1,0.0,0.6153846153846154
PM174548,13,10,2,1,0.0,0.6153846153846154
PM174682,1,0,0,1,4.0,0.0
PM176447,1,0,0,1,8.0,0.0
PM176448,1,0,0,1,8.0,0.0
PM176490,12,11,0,1,0.25,0.22916666666666666
PM176491,12,11,0,1,0.25,0.22916666666666666
PM176492,12,2,9,1,0.25,0.2916666666666667
PM176493,12,11,0,1,0.25,0.22916666666666666
PM176494,12,11,0,1,0.25,0.22916666666666666
PM176495,12,11,0,1,0.25,0.22916666666666666
PM176496,12,11,0,1,0.25,0.22916666666666666
PM176497,12,11,0,1,0.25,0.19722222222222222
PM176498,12,11,0,1,0.25,0.22916666666666666
PM176499,12,4,7,1,0.25,0.19027777777777777
PM176500,12,7,4,1,0.25,0.22916666666666666
PM177428,2,1,0,1,0.25,0.125
PM177429,2,1,0,1,0.25,0.125
PM179442,1,0,0,1,1.5,0.0
PM179471,1,0,0,1,16.0,0.0
PM179472,1,0,0,1,16.0,0.0
PM179493,1,0,0,1,0.5,0.0
PM179494,1,0,0,1,0.5,0.0
PM179750,1,0,0,1,0.5,0.0
PM179751,1,0,0,1,0.5,0.0
PM179911,1,0,0,1,0.5,0.0
PM179912,1,0,0,1,0.5,0.0
PM179989,13,9,3,1,1.5,1.2692307692307692
PM183419,12,0,11,1,0.3333333333333333,0.16805555555555554
PM186917,2,1,0,1,3.0,6.0
PM186918,2,1,0,1,5.0,14.0
PM186919,2,1,0,1,8.0,12.0
PM186920,2,1,0,1,5.0,16.0
PM186926,2,1,0,1,5.0,4.0
PM186946,1,0,0,1,3.0,0.0
PM186947,1,0,0,1,5.0,0.0
PM186948,1,0,0,1,8.0,0.0
PM186949,1,0,0,1,5.0,0.0
PM186950,1,0,0,1,3.0,0.0
PM186963,2,1,0,1,3.0,3.0
PM186965,2,1,0,1,8.0,17.0
PM186966,1,0,0,1,5.0,0.0
PM186997,2,1,0,1,3.0,3.0
PM186998,2,1,0,1,5.0,5.0
PM186999,2,1,0,1,8.0,24.0
PM187000,2,1,0,1,5.0,10.5
PM187006,2,1,0,1,3.0,4.5
PM187007,2,1,0,1,3.0,3.0
PM187009,2,1,0,1,8.0,4.5
PM187010,2,1,0,1,5.0,9.75
PM187011,2,1,0,1,3.0,4.5
PM187012,2,1,0,1,5.0,7.5
PM187013,2,1,0,1,8.0,8.0
PM187014,2,1,0,1,5.0,12.0
PM187026,1,0,0,1,3.0,0.0
PM187034,2,1,0,1,8.0,12.0
PM187035,2,1,0,1,5.0,9.0
PM187052,2,1,0,1,3.0,6.0
PM187053,2,1,0,1,5.0,10.0
PM187054,2,1,0,1,8.0,24.0
PM187055,2,1,0,1,3.0,3.0
PM187057,2,1,0,1,8.0,12.0
PM187058,2,1,0,1,5.0,8.0
PM187068,2,1,0,1,3.0,3.0
PM187069,2,1,0,1,5.0,10.0
PM187070,2,1,0,1,8.0,10.5
PM187090,2,1,0,1,3.0,6.0
PM187092,2,1,0,1,8.0,20.0
PM187099,2,1,0,1,3.0,4.5
PM187109,2,1,0,1,3.0,8.0
PM187110,2,1,0,1,5.0,5.0
PM187111,2,1,0,1,8.0,16.0
PM187473,5,4,0,1,0.25,0.2
PM189551,2,1,0,1,0.25,1.0
PM189854,1,0,0,1,4.0,0.0
PM189862,3,1,1,1,4.0,2.6666666666666665
PM190482,9,1,7,1,2.5,2.111111111111111
PM100001,1,1,0,0,16.0,8.0
PM100003,1,0,1,0,3.0,3.0
PM100004,1,1,0,0,2.5833333333333335,2.5833333333333335
PM100005,50,48,2,0,0.25,1.604
PM100006,50,49,1,0,0.25,0.8863333333333334
PM100007,50,46,4,0,2.5,1.5173333333333332
PM100008,50,46,4,0,2.5,1.497333333333333
PM100009,50,49,1,0,2.5,2.4616666666666664
PM100010,50,40,10,0,2.5,1.4883333333333337
PM100011,50,46,4,0,2.5,1.9733333333333332
PM100012,50,46,4,0,2.5,2.003333333333333
PM100013,13,10,3,0,8.0,7.53974358974359
PM100014,11,5,6,0,8.0,0.2196969696969697
PM100015,12,0,12,0,11.666666666666666,0.19444444444444442
PM100016,12,11,1,0,0.3333333333333333,0.3541666666666667
PM100017,12,11,1,0,0.3333333333333333,0.34027777777777773
PM100018,12,11,1,0,0.3333333333333333,0.3541666666666667
PM100019,12,11,1,0,0.3333333333333333,0.34027777777777773
PM100020,12,11,1,0,0.3333333333333333,0.34027777777777773
PM100021,12,11,1,0,0.3333333333333333,0.3333333333333333
PM100022,12,11,1,0,0.3333333333333333,0.3680555555555556
PM100023,12,11,1,0,0.3333333333333333,0.34027777777777773
PM100024,12,11,1,0,0.3333333333333333,0.3541666666666667
PM100025,12,11,1,0,0.3333333333333333,0.34027777777777773
PM100026,12,11,1,0,0.3333333333333333,0.3125
PM100027,12,11,1,0,0.3333333333333333,0.3680555555555556
PM100028,12,11,1,0,0.3333333333333333,0.34027777777777773
PM100029,12,11,1,0,0.3333333333333333,0.3125
PM100030,12,11,1,0,0.3333333333333333,0.3125
PM100031,12,11,1,0,0.3333333333333333,0.3125
PM100032,12,11,1,0,0.3333333333333333,0.3125
PM100033,12,11,1,0,0.3333333333333333,0.3125
PM100034,12,11,1,0,0.3333333333333333,0.3263888888888889
PM100035,12,11,1,0,0.3333333333333333,0.3125
PM100036,2,2,0,0,1.375,1.375
PM100037,2,2,0,0,1.375,1.375
PM100038,2,2,0,0,1.375,1.375
PM100039,2,2,0,0,1.375,1.375
PM100040,2,2,0,0,1.375,1.375
PM100041,2,2,0,0,1.375,1.375
PM100042,2,2,0,0,0.0,1.0
PM100043,2,2,0,0,0.0,1.0
PM100044,2,2,0,0,0.0,1.0
PM100046,2,2,0,0,1.375,1.375
